Date,Order ID,Product,Product_ean,catégorie,Purchase Address,Quantity Ordered,Price Each,Cost price,turnover,margin
2023-03-20,ORD1000,Keyboard,5919961350648,Accessories,"Delhi, DL",4,7731,5050,30924,10723
2023-10-28,ORD1001,Mouse,5982468694569,Accessories,"Bangalore, KA",3,49136,31156,147408,53937
2023-03-28,ORD1002,Headphones,2984498357235,Accessories,"Mumbai, MH",1,24625,14864,24625,9760
2023-03-02,ORD1003,Mouse,4331526165229,Accessories,"Mumbai, MH",2,18337,12609,36674,11455
2023-04-14,ORD1004,Mouse,2085959887446,Accessories,"Chennai, TN",1,36307,27138,36307,9168
2023-06-08,ORD1005,Smartphone,6822755423729,Electronics,"Bangalore, KA",1,8056,5623,8056,2432
2023-08-26,ORD1006,Headphones,4138736588806,Accessories,"Hyderabad, TS",2,12516,8878,25032,7275
2023-10-29,ORD1007,Headphones,2912142896919,Accessories,"Bangalore, KA",4,45261,37387,181044,31494
2023-08-07,ORD1008,Headphones,9786750445847,Accessories,"Chennai, TN",1,2542,1746,2542,795
2023-01-02,ORD1009,Mouse,5385433516616,Accessories,"Chennai, TN",3,22677,16520,68031,18470
2023-12-16,ORD1010,Keyboard,5927367068663,Accessories,"Bangalore, KA",1,47732,37990,47732,9741
2023-01-25,ORD1011,Headphones,2409070268277,Accessories,"Chennai, TN",2,40081,28022,80162,24117
2023-02-04,ORD1012,Mouse,7631054513406,Accessories,"Bangalore, KA",2,28569,21584,57138,13969
2023-12-13,ORD1013,Smartphone,3361262545470,Electronics,"Delhi, DL",2,24322,19836,48644,8970
2023-11-30,ORD1014,Keyboard,4438220033037,Accessories,"Bangalore, KA",4,20065,16802,80260,13051
2023-03-06,ORD1015,Smartphone,9717356160394,Electronics,"Bangalore, KA",1,18924,12050,18924,6873
2023-05-31,ORD1016,Keyboard,9998703672766,Accessories,"Chennai, TN",4,23556,19590,94224,15862
2023-11-21,ORD1017,Mouse,9770732553949,Accessories,"Chennai, TN",4,27962,20217,111848,30978
2023-09-24,ORD1018,Laptop,6423504754484,Electronics,"Mumbai, MH",2,29295,19468,58590,19653
2023-01-29,ORD1019,Keyboard,9575255454459,Accessories,"Mumbai, MH",2,14807,10583,29614,8446
2023-11-02,ORD1020,Smartphone,4362349477827,Electronics,"Delhi, DL",4,43348,36629,173392,26874
2023-01-18,ORD1021,Mouse,9801508158531,Accessories,"Mumbai, MH",1,27432,19837,27432,7594
2023-07-12,ORD1022,Keyboard,8624873098188,Accessories,"Bangalore, KA",3,18749,12790,56247,17875
2023-05-02,ORD1023,Laptop,8873073694106,Electronics,"Chennai, TN",4,42459,32198,169836,41040
2023-09-21,ORD1024,Laptop,5850704596903,Electronics,"Mumbai, MH",1,27256,17989,27256,9266
2023-10-24,ORD1025,Headphones,6788596013476,Accessories,"Mumbai, MH",2,41262,25539,82524,31444
2023-08-05,ORD1026,Headphones,8443385792718,Accessories,"Delhi, DL",2,38080,24074,76160,28010
2023-04-11,ORD1027,Smartphone,2805644290981,Electronics,"Delhi, DL",1,2324,1468,2324,855
2023-05-13,ORD1028,Keyboard,1086864245160,Accessories,"Bangalore, KA",3,26731,17053,80193,29031
2023-10-19,ORD1029,Keyboard,6190120056331,Accessories,"Chennai, TN",2,36909,23426,73818,26965
2023-05-24,ORD1030,Headphones,1019980458291,Accessories,"Delhi, DL",2,24803,18855,49606,11894
2023-10-26,ORD1031,Keyboard,6032191477119,Accessories,"Mumbai, MH",2,20870,13470,41740,14798
2023-03-22,ORD1032,Keyboard,7049053740079,Accessories,"Chennai, TN",1,35578,24421,35578,11156
2023-09-16,ORD1033,Laptop,7089263871950,Electronics,"Chennai, TN",4,7588,6254,30352,5335
2023-05-16,ORD1034,Headphones,1511269688378,Accessories,"Mumbai, MH",2,39069,28070,78138,21996
2023-11-13,ORD1035,Mouse,8699447830446,Accessories,"Delhi, DL",4,27790,21311,111160,25912
2023-02-08,ORD1036,Headphones,8679376135185,Accessories,"Mumbai, MH",3,26289,16905,78867,28149
2023-03-20,ORD1037,Mouse,2179211028564,Accessories,"Chennai, TN",2,29178,18909,58356,20537
2023-10-11,ORD1038,Laptop,1955782978094,Electronics,"Hyderabad, TS",2,29710,18129,59420,23160
2023-03-02,ORD1039,Smartphone,6681356397708,Electronics,"Hyderabad, TS",3,16485,10587,49455,17693
2023-09-30,ORD1040,Keyboard,6362143949212,Accessories,"Bangalore, KA",2,45482,30456,90964,30050
2023-07-06,ORD1041,Laptop,1033794729224,Electronics,"Mumbai, MH",4,21652,13949,86608,30810
2023-03-06,ORD1042,Keyboard,2499475846889,Accessories,"Mumbai, MH",1,5748,3576,5748,2171
2023-09-19,ORD1043,Smartphone,5136469552125,Electronics,"Bangalore, KA",4,22233,14010,88932,32890
2023-03-13,ORD1044,Smartphone,3647385563224,Electronics,"Bangalore, KA",1,10435,7463,10435,2971
2023-12-05,ORD1045,Laptop,9386031195763,Electronics,"Bangalore, KA",1,4709,3068,4709,1640
2023-05-06,ORD1046,Smartphone,1877890696889,Electronics,"Chennai, TN",4,31355,21668,125420,38746
2023-10-17,ORD1047,Mouse,8630098460406,Accessories,"Mumbai, MH",4,14116,10246,56464,15479
